matricula;latitude;longitude
1302250;-28,283808;-52,774807
1302251;-28,28378;-52,774776
1302252;-28,283564;-52,774723
2206091;-28,283607;-52,77431
2286014;-28,283638;-52,774277
1119478;-28,28365;-52,774075
1302253;-28,283743;-52,774055
1302254;-28,283772;-52,773987
1302255;-28,283876;-52,77386
1302256;-28,283976;-52,773754
1119468;-28,283983;-52,773643
2200380;-28,283825;-52,773727
2244386;-28,283705;-52,773808
1401909;-28,283554;-52,774017
1302261;-28,283566;-52,774082
1302262;-28,283548;-52,77412
1401910;-28,283384;-52,774406
2127792;-28,28309;-52,774265
1302263;-28,283075;-52,77427
1302264;-28,283007;-52,774082
1119483;-28,282873;-52,77412
1302269;-28,282845;-52,77403
1119484;-28,28275;-52,773987
1401911;-28,282686;-52,773827
1302265;-28,282684;-52,77377
2768642;-28,282505;-52,773636
1119743;-28,282642;-52,77349
1302395;-28,282667;-52,773476
1119740;-28,282652;-52,77335
1302394;-28,282701;-52,77324
1302393;-28,28283;-52,773174
1302392;-28,282951;-52,773106
1302391;-28,282925;-52,772984
2014537;-28,282984;-52,772907
1302339;-28,282982;-52,77276
1401932;-28,282967;-52,772766
1302338;-28,282858;-52,77291
1119631;-28,282745;-52,773037
1401931;-28,28267;-52,773117
1119629;-28,282587;-52,773243
1628422;-28,282616;-52,77329
1119487;-28,28246;-52,773518
2316119;-28,282402;-52,773483
2001549;-28,282373;-52,77363
2156986;-28,282072;-52,773384
2022137;-28,282019;-52,77339
1302266;-28,281967;-52,773262
1401912;-28,281864;-52,7731
1119491;-28,281784;-52,773155
1302267;-28,281773;-52,773075
1119493;-28,281635;-52,772984
1119496;-28,281418;-52,772934
1119494;-28,281406;-52,77288
1302322;-28,281517;-52,772488
1302321;-28,281605;-52,772457
1119599;-28,281775;-52,7725
1119598;-28,281862;-52,77266
1119597;-28,281902;-52,772667
1119595;-28,281927;-52,77247
1119596;-28,28201;-52,772438
1119594;-28,281946;-52,77237
2778635;-28,281687;-52,772335
1302320;-28,281767;-52,7722
1119591;-28,281918;-52,772007
1119590;-28,282055;-52,771973
1119683;-28,282188;-52,771954
1302366;-28,282265;-52,77203
1119686;-28,282393;-52,7721
1119687;-28,282469;-52,77215
1302367;-28,28251;-52,772305
1302369;-28,282537;-52,772327
1401939;-28,282724;-52,772408
1119695;-28,28286;-52,77251
1302390;-28,2832;-52,772835
1302389;-28,28329;-52,772884
1302388;-28,28343;-52,773033
1302387;-28,28345;-52,773018
1302386;-28,283562;-52,773106
1302385;-28,283705;-52,773254
1302384;-28,283733;-52,7733
1302383;-28,283817;-52,773373
1401907;-28,284107;-52,773567
1302382;-28,284231;-52,77368
1302381;-28,284285;-52,773735
1119452;-28,28484;-52,774193
2103861;-28,284962;-52,77429
1119724;-28,285063;-52,774418
1765028;-28,28528;-52,774563
1401905;-28,285545;-52,77479
1119714;-28,285654;-52,77488
1119723;-28,285704;-52,774944
1302379;-28,285778;-52,774933
1119717;-28,285978;-52,7751
1119721;-28,286049;-52,77518
1302378;-28,286055;-52,775204
1119718;-28,286016;-52,775135
1119719;-28,286024;-52,775143
1119716;-28,285955;-52,774982
1119715;-28,285828;-52,77493
1119713;-28,285711;-52,774765
1119712;-28,285526;-52,77455
1119711;-28,28548;-52,774616
1401942;-28,28539;-52,774506
1119709;-28,285364;-52,77447
1302377;-28,285124;-52,77429
2006394;-28,285103;-52,77429
2741857;-28,284996;-52,77422
2250523;-28,285004;-52,774166
1119707;-28,2848;-52,774025
1302380;-28,28463;-52,77387
1119726;-28,28451;-52,773716
1302376;-28,284138;-52,77332
1119475;-28,284214;-52,773205
1401908;-28,284414;-52,772762
1302258;-28,284508;-52,772663
1302257;-28,284616;-52,77252
1119658;-28,284506;-52,772102
1302351;-28,284424;-52,771996
1302350;-28,284311;-52,772007
1119655;-28,28429;-52,771774
2541099;-28,284847;-52,772404
2541115;-28,284864;-52,772392
1302259;-28,284302;-52,77291
1302260;-28,284204;-52,773052
1119705;-28,283958;-52,77324
1302375;-28,283815;-52,77313
1401941;-28,28375;-52,773067
1302374;-28,283642;-52,772972
1302373;-28,283585;-52,772823
1119700;-28,28351;-52,772804
1401940;-28,283335;-52,772655
1302340;-28,283237;-52,772465
1401933;-28,283346;-52,772327
1302341;-28,283394;-52,772354
1401934;-28,283407;-52,77217
1302344;-28,283533;-52,772022
1119643;-28,283579;-52,77206
1119648;-28,283812;-52,77175
1302348;-28,283901;-52,771595
1302353;-28,283653;-52,77108
1302354;-28,283405;-52,770706
1302356;-28,283289;-52,770493
1119666;-28,283192;-52,770386
2751147;-28,283182;-52,770344
1302355;-28,283283;-52,770546
1119662;-28,283495;-52,770935
1302352;-28,283785;-52,771416
1302349;-28,283768;-52,77148
1302347;-28,283785;-52,77159
1119651;-28,283707;-52,7716
1401936;-28,283712;-52,771706
1302346;-28,283611;-52,77171
1401935;-28,2835;-52,771915
1302343;-28,283367;-52,772
1302345;-28,283411;-52,77206
1119640;-28,28336;-52,772106
1302342;-28,283297;-52,772053
1119698;-28,28311;-52,772488
1302372;-28,282982;-52,77241
1302371;-28,282824;-52,772217
1302370;-28,282759;-52,772163
1302368;-28,282679;-52,772175
1401938;-28,282608;-52,772236
1401937;-28,282576;-52,771988
1119688;-28,282515;-52,77197
1119682;-28,282192;-52,771866
1119681;-28,282263;-52,771732
1119678;-28,282309;-52,77134
1302364;-28,282446;-52,77125
1302363;-28,282467;-52,771114
1302362;-28,282497;-52,77103
2593014;-28,282614;-52,77087
1119671;-28,282642;-52,77089
1302361;-28,282646;-52,770893
1119672;-28,28261;-52,77081
1302440;-28,282661;-52,7707
1302359;-28,282782;-52,77072
1302360;-28,282854;-52,770573
1302439;-28,282795;-52,770466
1302358;-28,282854;-52,77047
1302357;-28,282858;-52,77043
1302437;-28,282806;-52,770386
1302438;-28,282755;-52,77045
1401956;-28,282648;-52,770535
1302441;-28,282515;-52,77079
1119820;-28,282515;-52,770817
1401957;-28,28249;-52,770866
1302442;-28,28236;-52,771076
1302443;-28,282282;-52,77103
1401958;-28,282255;-52,771217
1302444;-28,282246;-52,771328
1119676;-28,282192;-52,771317
1302445;-28,282194;-52,771378
1119679;-28,282207;-52,771408
1401959;-28,282164;-52,77146
1302365;-28,282158;-52,771496
1119828;-28,28201;-52,771538
1119829;-28,282036;-52,771618
1119831;-28,282015;-52,77162
1119830;-28,281773;-52,771908
1119592;-28,281729;-52,77191
1119589;-28,281054;-52,773056
1302318;-28,281013;-52,773144
1302319;-28,280924;-52,773174
2527929;-28,280977;-52,77327
2681342;-28,280968;-52,77327
2536948;-28,280855;-52,773293
2568984;-28,280779;-52,77341
1302317;-28,28075;-52,773563
1302316;-28,280708;-52,773632
1302315;-28,280663;-52,773754
2363631;-28,28043;-52,77387
1302588;-28,280367;-52,773903
1401927;-28,280293;-52,773632
1302314;-28,280117;-52,77353
1984316;-28,280037;-52,773464
1994601;-28,280037;-52,77342
1352278;-28,275269;-52,77226
1172132;-28,275724;-52,77281
2078686;-28,275763;-52,77292
1408590;-28,27576;-52,772964
1402584;-28,275978;-52,77344
2492762;-28,276068;-52,773594
1172130;-28,276;-52,773926
2030303;-28,276073;-52,774178
2813029;-28,276327;-52,774193
1171920;-28,27716;-52,774754
1171919;-28,277246;-52,774734
1171918;-28,27732;-52,77472
1172836;-28,277328;-52,774696
1351563;-28,277334;-52,774696
1171915;-28,27736;-52,77467
1172855;-28,277395;-52,77469
1172851;-28,277596;-52,77459
1172849;-28,27765;-52,774593
1172850;-28,277645;-52,77456
1172847;-28,277723;-52,774475
1172848;-28,277699;-52,77451
1172846;-28,277615;-52,774536
1172845;-28,277567;-52,774536
1172852;-28,277561;-52,774567
1172844;-28,27753;-52,774475
1172853;-28,27753;-52,774555
1172841;-28,277481;-52,774593
1172854;-28,277473;-52,774555
1172843;-28,277418;-52,774506
1172842;-28,27741;-52,774555
1172840;-28,27735;-52,774574
1171916;-28,277334;-52,77463
1172838;-28,27732;-52,774586
1172839;-28,277306;-52,77459
1172837;-28,277225;-52,77463
1172835;-28,277142;-52,77457
1351562;-28,27671;-52,77461
1351564;-28,276594;-52,774113
1351565;-28,276567;-52,773956
2133396;-28,27628;-52,773323
1171928;-28,27695;-52,772675
1171927;-28,277351;-52,772526
1120130;-28,277643;-52,772614
1302606;-28,277622;-52,772724
1402008;-28,277607;-52,77286
1302607;-28,277628;-52,772984
1302608;-28,277693;-52,7731
1120135;-28,27774;-52,773228
2172226;-28,277863;-52,7734
1302609;-28,27779;-52,773525
1402009;-28,277897;-52,773613
1302610;-28,277918;-52,77366
1302611;-28,278135;-52,773766
1302612;-28,27825;-52,773933
1402010;-28,278366;-52,773933
1302613;-28,278488;-52,774147
1120142;-28,278492;-52,77416
1408955;-28,27874;-52,77432
1120144;-28,278778;-52,77434
2357751;-28,278887;-52,774418
1302615;-28,278961;-52,774483
1120148;-28,27894;-52,774532
2556354;-28,278984;-52,77459
2651669;-28,279173;-52,77473
2072534;-28,279333;-52,77495
2289521;-28,279337;-52,77478
1302618;-28,279278;-52,77454
